0,66,894,1221,406
1,549,556,506,181
2,342,646,564,405
3,92,412,153,951
4,196,317,267,629
5,855,336,1011,1129
6,579,846,600,512
7,1313,596,145,284
8,1401,1461,933,681
9,364,204,131,448
10,477,1148,580,476
11,838,719,340,1075
12,1007,266,903,1125
13,204,963,709,257
14,385,763,71,631
15,89,569,1136,887
16,332,584,1459,844
17,925,300,1195,614
18,123,380,389,1034
19,269,654,429,966
20,951,1131,92,665
21,330,581,1431,908
22,588,1129,855,448
23,1117,1042,949,730
24,1417,1278,846,23
25,573,697,169,626
26,669,1395,167,810
27,566,90,439,109
28,1071,44,113,1446
29,192,1033,873,109
30,665,951,20,1131
31,682,257,1328,718
32,573,761,501,798
33,1174,566,294,27
34,645,869,1020,1310
35,1451,657,1324,1467
36,689,285,1039,714
37,1046,981,804,210
38,1324,353,1018,378
39,719,838,1424,1469
40,63,995,499,1053
41,312,738,859,78
42,1461,371,1451,604
43,131,314,713,1043
44,355,28,692,113
45,899,1114,231,472
46,404,1308,482,1460
47,509,1142,196,1188
48,543,1246,1291,411
49,495,717,1078,722
50,1038,140,1228,1010
51,1399,1403,872,1030
52,681,808,786,596
53,1165,983,1313,115
54,1460,1370,916,114
55,1413,1135,331,288
56,873,821,339,1273
57,97,1388,1217,1336
58,1120,458,989,61
59,578,74,477,10
60,1432,681,218,324
61,992,290,593,877
62,996,364,586,150
63,995,40,433,292
64,1457,576,1025,901
65,1305,1295,204,353
66,633,525,0,901
67,763,385,639,698
68,1139,885,1152,1087
69,98,1381,1398,1213
70,733,1350,617,1027
71,763,394,1337,1059
72,483,433,1009,82
73,900,1093,92,415
74,283,59,1129,472
75,583,1376,54,931
76,118,205,352,402
77,319,1117,1208,493
78,41,1437,583,696
79,528,887,89,896
80,890,1327,1142,1087
81,241,648,930,191
82,208,650,291,564
83,1015,1393,1120,647
84,186,343,971,843
85,1091,537,1394,456
86,1295,1377,179,207
87,385,868,14,1347
88,853,995,428,1075
89,569,15,365,146
90,27,1072,439,456
91,246,588,472,152
92,1131,20,531,951
93,672,688,100,811
94,1270,1091,380,551
95,868,932,315,1355
96,849,658,703,653
97,57,1388,1217,59
98,69,1381,1213,910
99,697,665,463,951
100,1052,1072,1245,758
101,320,701,955,314
102,1219,478,1329,1103
103,1299,662,435,722
104,1367,113,999,451
105,1326,163,354,457
106,247,1044,1132,435
107,766,1328,642,47
108,934,218,230,940
109,456,27,755,1274
110,797,1309,927,1235
111,986,512,1230,715
112,1075,1318,146,11
113,160,28,104,859
114,54,719,1318,1089
115,145,935,1395,53
116,159,255,369,1045
117,747,1081,1450,101
118,602,76,671,333
119,1115,842,866,983
120,1274,546,1401,599
121,357,1338,599,860
122,1100,878,1274,1188
123,534,1170,1415,305
124,1086,912,1459,144
125,537,1180,714,762
126,1204,33,1087,885
127,140,428,1103,1361
128,1279,888,78,583
129,877,244,301,994
130,537,1212,1005,762
131,1471,1005,420,605
132,467,1048,1350,329
133,570,1463,1194,83
134,1008,358,551,910
135,716,698,391,733
136,60,1085,425,23
137,126,33,1087,1250
138,1440,400,1186,518
139,481,166,1052,534
140,1075,505,983,428
141,1450,1358,281,371
142,281,1183,1180,608
143,663,1038,1257,426
144,1452,1031,329,181
145,115,913,1074,817
146,569,89,602,333
147,756,913,1332,1456
148,889,984,194,392
149,404,1171,597,704
150,996,1184,329,62
151,1460,819,1184,796
152,246,365,650,588
153,3,1309,816,696
154,1352,1359,1430,1120
155,1167,352,1341,553
156,1190,584,511,796
157,1133,1257,260,242
158,1305,1241,88,853
159,116,255,369,1045
160,1229,752,113,436
161,1364,1121,987,354
162,1151,974,952,377
163,105,807,866,1354
164,494,323,583,140
165,1004,754,1051,1211
166,981,139,33,1366
167,1395,249,702,669
168,1120,576,546,1248
169,674,1202,665,736
170,1376,728,1255,1273
171,945,1243,662,1090
172,1321,455,1431,50
173,633,1301,66,1281
174,497,761,1330,1375
175,821,1126,56,648
176,600,1221,401,803
177,385,456,1347,214
178,1386,929,157,1091
179,1236,1073,927,333
180,570,562,529,1263
181,1460,593,441,944
182,1143,551,582,576
183,894,397,584,694
184,921,483,1367,223
185,829,774,997,698
186,84,876,466,971
187,27,712,466,670
188,1351,343,264,985
189,313,468,864,450
190,290,621,1322,1240
191,251,1235,110,535
192,1366,595,656,1430
193,1269,768,1228,647
194,1120,1276,546,1107
195,691,851,1157,845
196,4,629,317,514
197,199,1133,395,744
198,455,23,779,1042
199,197,1452,542,329
200,837,981,1215,1242
201,1302,1076,994,301
202,1077,336,1271,855
203,1139,978,1121,265
204,781,65,13,9
205,76,1250,251,937
206,781,633,66,991
207,1277,234,1335,86
208,365,650,350,82
209,1439,1154,898,929
210,1107,931,1152,37
211,1075,983,82,1024
212,181,1453,1164,774
213,675,369,159,116
214,1180,1041,177,371
215,628,1085,1259,1190
216,1055,1426,1265,1038
217,1235,843,1183,251
218,108,1282,60,324
219,1077,633,917,1278
220,569,333,325,1403
221,427,1323,659,261
222,1040,1307,1140,683
223,744,1019,184,542
224,495,368,985,382
225,1228,647,193,1358
226,1328,1332,67,639
227,633,691,551,881
228,1191,1263,325,946
229,789,1418,1080,1447
230,108,1356,218,24
231,1197,588,1264,1292
232,300,1292,913,217
233,870,1164,500,1111
234,413,997,1073,1384
235,895,579,967,446
236,1361,445,1125,471
237,401,1121,100,813
238,428,839,691,1251
239,951,665,463,842
240,640,647,1313,656
241,1073,1476,576,81
242,395,1356,1018,953
243,644,701,178,1242
244,601,798,603,1373
245,629,635,956,646
246,365,1009,152,721
247,1299,662,945,435
248,981,1238,687,1256
249,167,678,895,1395
250,1112,161,866,684
251,1235,1183,697,191
252,1302,682,763,1337
253,729,357,957,384
254,292,758,112,1413
255,159,116,369,1045
256,156,292,1208,996
257,31,410,1307,77
258,1231,1441,697,311
259,310,355,879,895
260,439,1110,1133,27
261,221,659,1436,522
262,743,589,216,295
263,1120,168,1248,718
264,1358,1228,1061,1055
265,978,975,1356,994
266,300,1378,12,82
267,514,4,196,629
268,301,121,1110,1466
269,19,837,736,571
270,1396,499,1321,455
271,59,939,476,477
272,1017,1438,1251,597
273,707,515,844,835
274,327,15,847,1258
275,1260,323,1014,1187
276,710,1453,420,1451
277,615,66,1247,153
278,653,739,658,973
279,441,807,404,1028
280,636,352,1404,193
281,759,749,827,260
282,753,337,989,708
283,74,59,1454,1216
284,1359,1100,1352,1338
