0,65,1454,1047,1085
1,556,549,97,593
2,342,28,379,1417
3,92,412,153,415
4,196,267,317,832
5,1129,1077,827,350
6,579,846,455,1435
7,1313,596,145,645
8,1461,654,933,1070
9,204,1440,275,350
10,1148,580,476,477
11,838,856,917,1148
12,412,228,480,1273
13,32,781,796,673
14,1271,524,450,385
15,89,569,614,1163
16,870,67,987,1269
17,770,1195,1273,1132
18,123,343,1358,483
19,324,1152,740,1285
20,1131,603,951,244
21,330,343,1431,347
22,855,721,588,336
23,198,798,455,24
24,612,1417,1278,343
25,1356,1018,724,697
26,669,53,1395,167
27,1271,524,33,260
28,202,835,1446,1332
29,640,109,192,72
30,1131,146,535,20
31,682,1328,605,226
32,890,1300,492,80
33,27,431,687,90
34,1327,645,329,869
35,42,1467,339,1272
36,1065,367,546,689
37,210,788,1046,504
38,1018,72,606,726
39,919,575,1150,958
40,555,1156,341,223
41,752,738,312,1461
42,284,35,963,908
43,1025,314,713,785
44,28,1134,1332,1446
45,1114,588,899,74
46,404,1296,396,1460
47,509,890,1424,1188
48,801,398,1243,494
49,495,368,1065,717
50,172,1061,140,167
51,371,787,351,1040
52,993,437,953,596
53,983,26,1144,1165
54,1308,610,1112,1184
55,1413,480,503,1135
56,873,339,767,831
57,97,1388,944,1217
58,1120,168,61,1039
59,74,476,578,283
60,1432,546,1377,681
61,1302,58,1019,1388
62,169,1266,46,564
63,292,40,1086,323
64,576,1016,407,1133
65,0,966,1295,594
66,1013,633,706,525
67,968,1289,839,32
68,718,324,1144,1161
69,98,359,1168,1132
70,733,617,967,421
71,394,763,698,1050
72,517,211,933,1265
73,37,92,1093,879
74,283,59,578,1129
75,801,1376,375,1370
76,118,1405,879,205
77,257,1117,792,1296
78,167,835,1342,1279
79,528,89,1195,309
80,890,32,1327,1087
81,173,643,516,913
82,291,1417,1116,1284
83,1026,537,133,1194
84,186,343,1346,971
85,537,795,1091,122
86,234,635,619,1377
87,1363,385,14,524
88,853,158,905,162
89,15,569,79,528
90,27,33,1072,1271
91,420,217,1173,1252
92,1131,1093,3,415
93,672,984,1052,1417
94,1270,1091,605,32
95,1355,868,932,315
96,849,1431,658,330
97,57,1388,555,1217
98,69,1381,359,175
99,1275,697,1446,217
100,1072,201,992,1417
101,320,1226,350,1016
102,1103,478,1329,19
103,1299,662,247,722
104,113,342,1348,1367
105,163,673,359,1430
106,894,1132,505,1268
107,766,1076,120,444
108,934,230,218,794
109,1475,935,1359,456
110,1309,249,259,797
111,1211,109,726,1106
112,983,210,53,89
113,1372,160,104,28
114,1089,981,1175,551
115,145,935,1224,1165
116,369,255,159,1045
117,747,1081,1450,325
118,76,1183,988,1212
119,842,766,773,1077
120,739,107,645,760
121,315,599,1338,932
122,85,419,509,878
123,1177,1415,172,305
124,505,1159,144,746
125,53,762,1144,537
126,294,565,27,33
127,935,140,1272,1010
128,332,702,228,79
129,1259,1372,182,1322
130,537,444,1189,1215
131,483,605,400,702
132,1048,1438,34,611
133,537,83,645,1194
134,1008,358,85,633
135,829,191,1180,992
136,1450,221,935,993
137,1087,145,773,1254
138,1157,1086,724,726
139,166,981,1386,192
140,679,983,987,127
141,347,1450,1196,1359
142,281,1160,1408,608
143,382,754,460,710
144,756,611,329,593
145,913,1165,7,115
146,220,325,897,341
147,913,1332,756,1356
148,889,329,673,462
149,727,46,870,819
150,453,987,1184,205
151,1415,839,1059,610
152,246,721,365,1144
153,415,92,3,1417
154,1352,1430,1359,1039
155,1167,1040,205,291
156,17,796,1198,150
157,1180,983,1133,260
158,1305,88,853,577
159,369,255,116,1045
160,113,752,28,888
161,1276,342,673,250
162,1151,952,322,377
163,105,1430,118,1360
164,494,624,289,764
165,717,773,1230,1065
166,981,33,139,596
167,737,702,1395,773
168,1120,534,1137,191
169,550,62,736,46
170,1327,526,1430,546
171,1243,945,982,1090
172,50,1083,1177,123
173,426,771,633,41
174,497,1070,919,1346
175,1126,359,98,10
176,600,1221,803,533
177,706,537,792,1394
178,1386,374,537,243
179,1236,234,1073,927
180,215,465,1372,529
181,1460,1019,1316,755
182,582,1289,1003,1446
183,217,397,677,1340
184,921,1319,1226,483
185,1235,682,1303,1360
186,84,893,343,881
