0,158,353,844,1073
1,176,600,601,870
2,146,499,980,146
3,48,352,623,1363
4,361,809,1050,1111
5,336,567,749,930
6,200,321,347,789
7,64,471,596,652
8,383,420,1323,1421
9,320,946,1321,320
10,59,74,476,485
11,140,428,772,835
12,300,507,614,989
13,101,204,306,662
14,510,549,867,1048
15,314,466,560,719
16,71,333,405,898
17,266,273,555,266
18,33,122,126,294
19,192,319,368,792
20,506,959,1458,506
21,30,524,588,609
22,270,700,724,759
23,579,779,815,579
24,50,950,1417,50
25,135,288,540,1121
26,53,547,810,848
27,472,1264,1287,472
28,93,424,477,578
29,282,284,348,501
30,21,524,588,609
31,671,761,900,671
32,145,168,263,419
33,18,122,126,294
34,438,804,922,1304
35,1451,1451,1451,1451
36,332,520,711,1261
37,1176,1258,1394,1176
38,129,131,775,813
39,236,768,1424,236
40,1279,1347,1349,1410
41,87,518,87,87
42,118,1053,118,118
43,193,335,1022,1351
44,224,344,351,412
45,330,751,1201,330
46,151,464,556,674
47,119,161,866,1049
48,3,352,623,1363
49,999,999,999,999
50,24,950,1417,24
51,80,191,495,550
52,98,278,297,543
53,26,547,810,848
54,75,279,295,360
55,324,1428,324,324
56,873,912,1276,1307
57,97,254,489,1195
58,218,261,346,1338
59,10,74,476,485
60,60,60,60,60
61,386,522,875,966
62,364,364,364,364
63,173,213,496,621
64,7,471,596,652
65,447,622,447,447
66,516,574,872,516
67,421,951,970,1087
68,114,881,929,114
69,313,430,488,764
70,70,70,70,70
71,16,333,405,898
72,325,544,575,702
73,103,830,1078,1285
74,10,59,476,485
75,54,279,295,360
76,318,1199,1310,318
77,514,831,1070,1099
78,523,1109,1320,1357
79,112,341,528,864
80,51,191,495,550
81,91,283,897,947
82,232,480,564,587
83,194,553,885,1283
84,343,676,343,343
85,210,442,481,566
86,432,585,738,1007
87,41,518,41,41
88,155,211,299,433
89,896,1060,1177,1219
90,667,755,1341,667
91,81,283,897,947
92,411,483,695,977
93,28,424,477,578
94,96,338,718,1056
95,323,425,868,323
96,94,338,718,1056
97,57,254,489,1195
98,52,278,297,543
99,212,212,212,212
100,139,166,371,706
101,13,204,306,662
102,286,517,780,1124
103,73,830,1078,1285
104,659,1299,659,659
105,453,943,1123,453
106,408,919,1119,408
107,413,656,997,1251
108,124,179,1086,1303
109,137,456,790,800
110,253,259,407,598
111,308,986,308,308
112,79,341,528,864
113,277,280,355,615
114,68,881,929,68
115,342,642,773,342
116,159,255,369,381
117,296,747,1089,1422
118,42,1053,42,42
119,47,161,866,1049
120,177,403,440,590
121,339,363,458,654
122,18,33,126,294
123,130,728,795,1139
124,108,179,1086,1303
125,392,396,392,392
126,18,33,122,294
127,632,680,720,945
128,138,400,988,1157
129,38,131,775,813
130,123,728,795,1139
131,38,129,775,813
132,310,417,310,310
133,537,692,791,884
134,358,812,1008,1160
135,25,288,540,1121
136,398,467,494,1096
137,109,456,790,800
138,128,400,988,1157
139,100,166,371,706
140,11,428,772,835
141,242,265,811,832
142,144,281,992,1026
143,229,1080,229,229
